Book ID,Input File Path,Timestamp,Status,Failure Stage,Error Message,Retry Attempts,Total Audio Files,Total Audio Duration (s),Processing Time (ms),Error Details
55,FinalAllSummaries/55.md,2025-07-02T21:46:58.857Z,SUCCESS,,,0,0,0,0,
56,FinalAllSummaries/56.md,2025-07-02T21:46:59.860Z,SUCCESS,,,0,0,0,1,
58,FinalAllSummaries/58.md,2025-07-02T21:47:00.864Z,SUCCESS,,,0,0,0,1,
59,FinalAllSummaries/59.md,2025-07-02T21:47:01.867Z,SUCCESS,,,0,0,0,0,
64,FinalAllSummaries/64.md,2025-07-02T21:47:02.869Z,SUCCESS,,,0,0,0,0,
65,FinalAllSummaries/65.md,2025-07-02T21:47:03.871Z,SUCCESS,,,0,0,0,0,
77,FinalAllSummaries/77.md,2025-07-02T21:47:04.873Z,SUCCESS,,,0,0,0,1,
79,FinalAllSummaries/79.md,2025-07-02T21:47:05.874Z,SUCCESS,,,0,0,0,0,
80,FinalAllSummaries/80.md,2025-07-02T21:47:06.877Z,SUCCESS,,,0,0,0,1,
81,FinalAllSummaries/81.md,2025-07-02T21:47:07.879Z,SUCCESS,,,0,0,0,0,
82,FinalAllSummaries/82.md,2025-07-02T21:47:08.881Z,SUCCESS,,,0,0,0,0,
87,FinalAllSummaries/87.md,2025-07-02T21:47:09.883Z,SUCCESS,,,0,0,0,0,
89,FinalAllSummaries/89.md,2025-07-02T21:47:10.885Z,SUCCESS,,,0,0,0,1,
90,FinalAllSummaries/90.md,2025-07-02T21:47:11.887Z,SUCCESS,,,0,0,0,0,
92,FinalAllSummaries/92.md,2025-07-02T21:47:12.889Z,SUCCESS,,,0,0,0,0,
96,FinalAllSummaries/96.md,2025-07-02T21:47:13.891Z,SUCCESS,,,0,0,0,0,
98,FinalAllSummaries/98.md,2025-07-02T21:47:14.894Z,SUCCESS,,,0,0,0,1,
101,FinalAllSummaries/101.md,2025-07-02T21:47:15.896Z,SUCCESS,,,0,0,0,0,
102,FinalAllSummaries/102.md,2025-07-02T21:47:16.898Z,SUCCESS,,,0,0,0,0,
103,FinalAllSummaries/103.md,2025-07-02T21:47:17.902Z,SUCCESS,,,0,0,0,1,
104,FinalAllSummaries/104.md,2025-07-02T21:47:18.904Z,SUCCESS,,,0,0,0,0,
105,FinalAllSummaries/105.md,2025-07-02T21:47:19.907Z,SUCCESS,,,0,0,0,1,
108,FinalAllSummaries/108.md,2025-07-02T21:47:20.910Z,SUCCESS,,,0,0,0,1,
12,FinalAllSummaries/12.md,2025-07-02T21:51:36.063Z,SUCCESS,,,0,0,0,1,
19,FinalAllSummaries/19.md,2025-07-02T21:51:37.066Z,SUCCESS,,,0,0,0,1,
20,FinalAllSummaries/20.md,2025-07-02T21:51:38.069Z,SUCCESS,,,0,0,0,1,
22,FinalAllSummaries/22.md,2025-07-02T21:51:39.072Z,SUCCESS,,,0,0,0,1,
25,FinalAllSummaries/25.md,2025-07-02T21:51:40.076Z,SUCCESS,,,0,0,0,0,
26,FinalAllSummaries/26.md,2025-07-02T21:51:41.079Z,SUCCESS,,,0,0,0,0,
27,FinalAllSummaries/27.md,2025-07-02T21:51:42.083Z,SUCCESS,,,0,0,0,1,
28,FinalAllSummaries/28.md,2025-07-02T21:51:43.087Z,SUCCESS,,,0,0,0,0,
29,FinalAllSummaries/29.md,2025-07-02T21:51:44.092Z,SUCCESS,,,0,0,0,2,
30,FinalAllSummaries/30.md,2025-07-02T21:51:45.096Z,SUCCESS,,,0,0,0,1,
31,FinalAllSummaries/31.md,2025-07-02T21:51:46.101Z,SUCCESS,,,0,0,0,0,
32,FinalAllSummaries/32.md,2025-07-02T21:51:47.105Z,SUCCESS,,,0,0,0,1,
33,FinalAllSummaries/33.md,2025-07-02T21:51:48.109Z,SUCCESS,,,0,0,0,2,
34,FinalAllSummaries/34.md,2025-07-02T21:51:49.113Z,SUCCESS,,,0,0,0,1,
36,FinalAllSummaries/36.md,2025-07-02T21:51:50.115Z,SUCCESS,,,0,0,0,0,
42,FinalAllSummaries/42.md,2025-07-02T21:51:51.117Z,SUCCESS,,,0,0,0,1,
43,FinalAllSummaries/43.md,2025-07-02T21:51:52.122Z,SUCCESS,,,0,0,0,1,
49,FinalAllSummaries/49.md,2025-07-02T21:51:53.125Z,SUCCESS,,,0,0,0,1,
54,FinalAllSummaries/54.md,2025-07-02T21:51:54.130Z,SUCCESS,,,0,0,0,1,
55,FinalAllSummaries/55.md,2025-07-02T21:51:55.135Z,SUCCESS,,,0,0,0,1,
56,FinalAllSummaries/56.md,2025-07-02T21:51:56.139Z,SUCCESS,,,0,0,0,1,
58,FinalAllSummaries/58.md,2025-07-02T21:51:57.143Z,SUCCESS,,,0,0,0,0,
59,FinalAllSummaries/59.md,2025-07-02T21:51:58.148Z,SUCCESS,,,0,0,0,1,
64,FinalAllSummaries/64.md,2025-07-02T21:51:59.152Z,SUCCESS,,,0,0,0,1,
65,FinalAllSummaries/65.md,2025-07-02T21:52:00.156Z,SUCCESS,,,0,0,0,1,
77,FinalAllSummaries/77.md,2025-07-02T21:52:01.162Z,SUCCESS,,,0,0,0,2,
79,FinalAllSummaries/79.md,2025-07-02T21:52:02.166Z,SUCCESS,,,0,0,0,1,
80,FinalAllSummaries/80.md,2025-07-02T21:52:03.171Z,SUCCESS,,,0,0,0,1,
81,FinalAllSummaries/81.md,2025-07-02T21:52:04.175Z,SUCCESS,,,0,0,0,0,
82,FinalAllSummaries/82.md,2025-07-02T21:52:05.178Z,SUCCESS,,,0,0,0,1,
87,FinalAllSummaries/87.md,2025-07-02T21:52:06.182Z,SUCCESS,,,0,0,0,1,
89,FinalAllSummaries/89.md,2025-07-02T21:52:07.186Z,SUCCESS,,,0,0,0,1,
90,FinalAllSummaries/90.md,2025-07-02T21:52:08.189Z,SUCCESS,,,0,0,0,1,
92,FinalAllSummaries/92.md,2025-07-02T21:52:09.194Z,SUCCESS,,,0,0,0,1,
96,FinalAllSummaries/96.md,2025-07-02T21:52:10.197Z,SUCCESS,,,0,0,0,1,
98,FinalAllSummaries/98.md,2025-07-02T21:52:11.202Z,SUCCESS,,,0,0,0,1,
101,FinalAllSummaries/101.md,2025-07-02T21:52:12.206Z,SUCCESS,,,0,0,0,1,
102,FinalAllSummaries/102.md,2025-07-02T21:52:13.209Z,SUCCESS,,,0,0,0,0,
103,FinalAllSummaries/103.md,2025-07-02T21:52:14.213Z,SUCCESS,,,0,0,0,0,
104,FinalAllSummaries/104.md,2025-07-02T21:52:15.216Z,SUCCESS,,,0,0,0,1,
105,FinalAllSummaries/105.md,2025-07-02T21:52:16.221Z,SUCCESS,,,0,0,0,1,
108,FinalAllSummaries/108.md,2025-07-02T21:57:03.427Z,SUCCESS,,,0,12,1635.9437920000003,286202,
12,FinalAllSummaries/12.md,2025-07-02T21:59:39.350Z,SUCCESS,,,0,0,0,0,
19,FinalAllSummaries/19.md,2025-07-02T21:59:40.356Z,SUCCESS,,,0,0,0,0,
20,FinalAllSummaries/20.md,2025-07-02T21:59:41.358Z,SUCCESS,,,0,0,0,0,
22,FinalAllSummaries/22.md,2025-07-02T21:59:42.359Z,SUCCESS,,,0,0,0,0,
25,FinalAllSummaries/25.md,2025-07-02T21:59:43.362Z,SUCCESS,,,0,0,0,0,
26,FinalAllSummaries/26.md,2025-07-02T21:59:44.365Z,SUCCESS,,,0,0,0,0,
27,FinalAllSummaries/27.md,2025-07-02T21:59:45.368Z,SUCCESS,,,0,0,0,1,
28,FinalAllSummaries/28.md,2025-07-02T21:59:46.371Z,SUCCESS,,,0,0,0,0,
29,FinalAllSummaries/29.md,2025-07-02T21:59:47.375Z,SUCCESS,,,0,0,0,0,
