book_id,isProcessed
842,true
843,true
846,true
849,true
851,true
858,true
859,true
863,true
864,true
865,true
867,true
868,true
87,true
870,true
871,true
872,true
874,true
875,true
876,true
879,true
880,true
883,true
884,true
885,true
888,true
89,true
891,true
893,true
899,true
90,true
900,true
901,true
903,true
904,true
905,true
906,true
907,true
909,true
910,true
911,true
912,true
916,true
917,true
918,true
919,true
92,true
920,true
923,true
925,true
926,true
927,true
928,true
930,true
931,true
932,true
933,true
934,true
935,true
936,true
937,true
938,true
940,true
942,true
944,true
945,true
948,true
949,true
953,true
955,true
956,true
957,true
958,true
959,true
96,true
960,true
961,true
962,true
963,true
965,true
966,true
967,true
968,true
969,true
971,true
972,true
974,true
977,true
979,true
98,true
980,true
981,true
982,true
983,true
984,true
985,true
987,true
988,true
991,true
992,true
993,true
994,true
995,true
998,true
test,true
,false
1435,true
1437,true
1440,true
1442,true
1443,true
1444,true
1445,true
1446,true
1447,true
1448,true
1450,true
1451,true
1452,true
1453,true
1455,true
1458,true
1459,true
1460,true
1461,true
1462,true
1464,true
1465,true
1466,true
1468,true
1469,true
1470,true
1471,true
1474,true
1476,true
1477,true
1479,true
1486,true
1487,true
1490,true
1491,true
1493,true
1494,true
1498,true
1501,true
1502,true
1503,true
1504,true
1505,true
1506,true
1507,true
1508,true
1509,true
1512,true
1517,true
1519,true
1520,true
1521,true
1522,true
1525,true
1526,true
1528,true
1529,true
1530,true
1531,true
1533,true
1534,true
1535,true
1536,true
1538,true
1539,true
1540,true
1542,true
1543,true
1544,true
1545,true
1547,true
1554,true
1555,true
1557,true
1558,true
1559,true
1560,true
1561,true
1570,true
1571,true
1573,true
1574,true
1575,true
1576,true
1578,true
1579,true
1585,true
1587,true
1591,true
1594,true
1595,true
1597,true
1598,true
1599,true
1600,true
1602,true
1603,true
1604,true
1605,true
1606,true
1610,true
1611,true
1612,true
1613,true
1615,true
1616,true
1617,true
1618,true
1619,true
1620,true
1623,true
1624,true
1625,true
1627,true
1628,true
1629,true
1630,true
1631,true
1633,true
1635,true
1638,true
1639,true
1640,true
1641,true
1642,true
1644,true
1646,true
1647,true
1648,true
1649,true
1650,true
1651,true
1652,true
1653,true
1656,true
1657,true
1659,true
1660,true
1661,true
1662,true
1664,true
1666,true
1669,true
1670,true
1672,true
1677,true
1678,true
1679,true
1680,true
1681,true
1682,true
1683,true
1686,true
1689,true
1690,true
1692,true
1694,true
1695,true
1697,true
1699,true
1703,true
1705,true
1708,true
1710,true
1714,true
1716,true
1718,true
1719,true
1720,true
1721,true
1724,true
1729,true
